NPC,Path,Width,Lenght,LiftPushSpeed,LiftRegularSpeed,RT1EntranceSpeed,RT1ExitSpeed,RT2EntranceSpeed,RT2ExitSpeed,EM1PushSpeed,EM1PushCycle,EM2PushSpeed,EM2PushCycle,Product,Chipboard,Position_0,Position_2,Position_3,Position_4,Position_5,BR_BR2,BR_BR3,Color_black,Color_chary,Color_none,Color_oack,Color_white,Parts_1,Parts_2
12.0,0,1200.0,505.0,26.0,20.0,26.0,23.0,18.0,22.0,26.0,15.0,23.0,18.0,BR3-IRW305,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
11.0,1,1310.0,571.0,26.0,20.0,26.0,18.0,18.0,18.0,22.0,12.0,18.0,12.0,BR3-IRW205,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
16.0,0,674.0,200.0,21.0,16.0,21.0,16.0,18.0,18.0,22.0,16.0,18.0,18.0,BR3-IRW907,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
12.0,1,900.0,440.0,23.0,12.0,23.0,18.0,18.0,23.0,23.0,12.0,18.0,12.0,BR3-IKW202-A,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0
17.0,1,374.0,1002.0,21.0,18.0,27.0,27.0,27.0,27.0,27.0,12.0,27.0,21.0,BR2-IKW103-D-A,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0
17.0,1,374.0,1002.0,21.0,18.0,27.0,27.0,27.0,27.0,27.0,12.0,27.0,21.0,BR2-IKW103-K-A,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0
9.0,1,1147.0,248.0,18.0,10.0,18.0,18.0,18.0,18.0,18.0,10.0,18.0,18.0,BR3-ITW103-D,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
12.0,1,506.0,475.0,11.0,14.0,11.0,18.0,18.0,20.0,20.0,12.0,18.0,20.0,BR3-IRW206,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
8.0,1,806.0,780.0,18.0,8.0,18.0,18.0,9.0,9.0,18.0,9.0,18.0,9.0,BR3-IRW114-D,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
18.0,0,408.5,465.0,18.0,18.0,18.0,18.0,20.0,35.0,18.0,18.0,18.0,18.0,BR3-ITW108,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
